Instancia,Percentil,Threshold,Distancia LP,Numero de asignaciones no factibles,Tiempo LP
input/small_0.csv,80,7.12,29.299999999999997,0,0.0017199516296386719
input/small_0.csv,85,7.929999999999999,29.299999999999997,0,0.0015637874603271484
input/small_0.csv,90,9.21,29.299999999999997,0,0.001772165298461914
input/small_1.csv,80,10.32,32.4,0,0.0019142627716064453
input/small_1.csv,85,11.514999999999999,32.400000000000006,0,0.002009153366088867
input/small_1.csv,90,12.8,32.400000000000006,0,0.0039081573486328125
input/small_2.csv,80,12.32,56.9,0,0.0022530555725097656
input/small_2.csv,85,12.915,56.9,0,0.001543283462524414
input/small_2.csv,90,15.120000000000001,56.90000000000001,0,0.0022716522216796875
input/small_3.csv,80,8.0,23.7,0,0.0013461112976074219
input/small_3.csv,85,8.929999999999998,23.7,0,0.0012688636779785156
input/small_3.csv,90,9.5,23.7,0,0.0013821125030517578
input/small_4.csv,80,8.340000000000002,30.800000000000004,0,0.0014109611511230469
input/small_4.csv,85,9.214999999999998,30.800000000000004,0,0.0011739730834960938
input/small_4.csv,90,9.450000000000005,30.800000000000004,0,0.001165151596069336
input/small_5.csv,80,12.02,inf,100,0.000293731689453125
input/small_5.csv,85,13.249999999999991,54.39999999999999,0,0.002053976058959961
input/small_5.csv,90,15.110000000000001,54.39999999999999,0,0.002125978469848633
input/small_6.csv,80,10.840000000000002,inf,100,0.0004038810729980469
input/small_6.csv,85,13.1,41.0,0,0.0013670921325683594
input/small_6.csv,90,14.500000000000018,41.0,0,0.0012350082397460938
input/small_7.csv,80,10.0,inf,100,0.0003917217254638672
input/small_7.csv,85,10.689999999999994,46.89999999999999,0,0.0014536380767822266
input/small_7.csv,90,11.920000000000002,46.89999999999999,0,0.0012967586517333984
input/small_8.csv,80,9.92,35.50000000000001,0,0.0012059211730957031
input/small_8.csv,85,10.859999999999998,35.50000000000001,0,0.0011470317840576172
input/small_8.csv,90,12.410000000000002,35.50000000000001,0,0.0012238025665283203
input/small_9.csv,80,11.680000000000001,49.7,0,0.0022029876708984375
input/small_9.csv,85,12.5,49.7,0,0.0019659996032714844
input/small_9.csv,90,13.940000000000003,49.7,0,0.002477884292602539
input/medium_0.csv,80,10.6,329.70000000000005,0,0.05631899833679199
input/medium_0.csv,85,12.1,329.5999999999999,0,0.06254386901855469
input/medium_0.csv,90,13.9,329.49999999999994,0,0.06234288215637207
